国勢調査（総務省統計局）　時系列データ　男女，年齢，配偶関係,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
第３表　年齢（5歳階級），男女別人口及び人口性比 － 都道府県（大正9年～令和2年）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
※マークの項目については、令和２年国勢調査における「参考表：令和２年国勢調査に関する不詳補完結果」及び「参考表：平成27年国勢調査に関する不詳補完結果（遡及集計）」の結果数値を掲載している。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1) 大正９年、昭和５年、10年、25年（沖縄県のみ大正９年、昭和５年、10年）における「年齢（5歳階級）」の「80～84歳」については、「80歳以上」の結果数値を掲載。その他の年次については、「80～84歳」の結果数値を掲載。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2) 昭和15年、25年、30年、50年～平成22年、27年（原数値）及び令和２年（原数値）は、年齢（5歳階級）の「総数」に年齢「不詳」の者を含む。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3) 割合は、年齢「不詳」の者を除いて算出している。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4) 昭和20年は昭和20年人口調査（11月１日現在）による人口。ただし、沖縄県のみ「沖縄群島要覧 1950年版」（12月末日現在）より作成。年齢は「参考」シートの区分による。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5) 沖縄県の昭和25年、30年における年齢（5歳階級）の「70～74歳」については、「70歳以上」の結果数値を掲載。その他の年次については、「70～74歳」の結果数値を掲載。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6) 沖縄県の昭和35年、40年は、年齢（5歳階級）の「総数」に年齢「不詳」の者を含む。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
地域,年齢（5歳階級）,1920年,大正9年,,,,,,1925年,大正14年,,,,,,1930年,昭和5年,,,,,,1935年,昭和10年,,,,,,1940年,昭和15年,,,,,,1945年,昭和20年,,,,,,1950年,昭和25年,,,,,,1955年,昭和30年,,,,,,1960年,昭和35年,,,,,,1965年,昭和40年,,,,,,1970年,昭和45年,,,,,,1975年,昭和50年,,,,,,1980年,昭和55年,,,,,,1985年,昭和60年,,,,,,1990年,平成2年,,,,,,1995年,平成7年,,,,,,2000年,平成12年,,,,,,2005年,平成17年,,,,,,2010年,平成22年,,,,,,2015年,平成27年,,,,,,2020年,令和2年,,,,,,2015年,平成27年,,,,,,2020年,令和2年,,,,,
,,人口,,,年齢，男女別割合,,,人口性比,人口,,,年齢，男女別割合,,,人口性比,人口,,,年齢，男女別割合,,,人口性比,人口,,,年齢，男女別割合,,,人口性比,人口,,,年齢，男女別割合,,,人口性比,人口,,,年齢，男女別割合,,,人口性比,人口,,,年齢，男女別割合,,,人口性比,人口,,,年齢，男女別割合,,,人口性比,人口,,,年齢，男女別割合,,,人口性比,人口,,,年齢，男女別割合,,,人口性比,人口,,,年齢，男女別割合,,,人口性比,人口,,,年齢，男女別割合,,,人口性比,人口,,,年齢，男女別割合,,,人口性比,人口,,,年齢，男女別割合,,,人口性比,人口,,,年齢，男女別割合,,,人口性比,人口,,,年齢，男女別割合,,,人口性比,人口,,,年齢，男女別割合,,,人口性比,人口,,,年齢，男女別割合,,,人口性比,人口,,,年齢，男女別割合,,,人口性比,人口,,,年齢，男女別割合,,,人口性比,人口,,,年齢，男女別割合,,,人口性比,人口,,,年齢，男女別割合,,,人口性比,人口,,,年齢，男女別割合,,,人口性比
,,総数,男,女,総数,男,女,,総数,男,女,総数,男,女,,総数,男,女,総数,男,女,,総数,男,女,総数,男,女,,総数,男,女,総数,男,女,,総数,男,女,総数,男,女,,総数,男,女,総数,男,女,,総数,男,女,総数,男,女,,総数,男,女,総数,男,女,,総数,男,女,総数,男,女,,総数,男,女,総数,男,女,,総数,男,女,総数,男,女,,総数,男,女,総数,男,女,,総数,男,女,総数,男,女,,総数,男,女,総数,男,女,,総数,男,女,総数,男,女,,総数,男,女,総数,男,女,,総数,男,女,総数,男,女,,総数,男,女,総数,男,女,,総数,男,女,総数,男,女,,総数,男,女,総数,男,女,,総数,男,女,総数,男,女,,総数,男,女,総数,男,女,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,※,※,※,※,※,※,※,※,※,※,※,※,※,※
,,（人）,（人）,（人）,（％）,（％）,（％）,-,（人）,（人）,（人）,（％）,（％）,（％）,-,（人）,（人）,（人）,（％）,（％）,（％）,-,（人）,（人）,（人）,（％）,（％）,（％）,-,（人）,（人）,（人）,（％）,（％）,（％）,-,（人）,（人）,（人）,（％）,（％）,（％）,-,（人）,（人）,（人）,（％）,（％）,（％）,-,（人）,（人）,（人）,（％）,（％）,（％）,-,（人）,（人）,（人）,（％）,（％）,（％）,-,（人）,（人）,（人）,（％）,（％）,（％）,-,（人）,（人）,（人）,（％）,（％）,（％）,-,（人）,（人）,（人）,（％）,（％）,（％）,-,（人）,（人）,（人）,（％）,（％）,（％）,-,（人）,（人）,（人）,（％）,（％）,（％）,-,（人）,（人）,（人）,（％）,（％）,（％）,-,（人）,（人）,（人）,（％）,（％）,（％）,-,（人）,（人）,（人）,（％）,（％）,（％）,-,（人）,（人）,（人）,（％）,（％）,（％）,-,（人）,（人）,（人）,（％）,（％）,（％）,-,（人）,（人）,（人）,（％）,（％）,（％）,-,（人）,（人）,（人）,（％）,（％）,（％）,-,（人）,（人）,（人）,（％）,（％）,（％）,-,（人）,（人）,（人）,（％）,（％）,（％）,-
01000_北海道,総数,"2,359,183","1,244,322","1,114,861",100.0,52.7,47.3,111.6,"2,498,679","1,305,473","1,193,206",100.0,52.2,47.8,109.4,"2,812,335","1,468,540","1,343,795",100.0,52.2,47.8,109.3,"3,068,282","1,593,845","1,474,437",100.0,51.9,48.1,108.1,"3,272,012","1,695,083","1,576,929",100.0,51.8,48.2,107.5,"3,518,389","1,738,623","1,779,766",100.0,49.4,50.6,97.7,"4,295,567","2,169,393","2,126,174",100.0,50.5,49.5,102.0,"4,773,087","2,428,833","2,344,254",100.0,50.9,49.1,103.6,"5,039,206","2,544,753","2,494,453",100.0,50.5,49.5,102.0,"5,171,800","2,583,159","2,588,641",100.0,49.9,50.1,99.8,"5,184,287","2,552,806","2,631,481",100.0,49.2,50.8,97.0,"5,338,206","2,621,285","2,716,921",100.0,49.1,50.9,96.5,"5,575,989","2,737,089","2,838,900",100.0,49.1,50.9,96.4,"5,679,439","2,766,296","2,913,143",100.0,48.7,51.3,95.0,"5,643,647","2,722,988","2,920,659",100.0,48.2,51.8,93.2,"5,692,321","2,736,844","2,955,477",100.0,48.1,51.9,92.6,"5,683,062","2,719,389","2,963,673",100.0,47.8,52.2,91.8,"5,627,737","2,675,033","2,952,704",100.0,47.5,52.5,90.6,"5,506,419","2,603,345","2,903,074",100.0,47.3,52.7,89.7,"5,381,733","2,537,089","2,844,644",100.0,47.1,52.9,89.2,"5,224,614","2,465,088","2,759,526",100.0,47.1,52.9,89.3,"5,381,733","2,537,089","2,844,644",100.0,47.1,52.9,89.2,"5,224,614","2,465,088","2,759,526",100.0,47.2,52.8,89.3
01000_北海道,0～4歳,"376,676","190,044","186,632",16.0,8.1,7.9,101.8,"405,607","204,576","201,031",16.2,8.2,8.0,101.8,"445,457","224,549","220,908",15.8,8.0,7.9,101.6,"462,550","234,131","228,419",15.1,7.6,7.4,102.5,"456,318","230,441","225,877",13.9,7.0,6.9,102.0,"497,219","252,253","244,966",14.1,7.2,7.0,103.0,"663,628","338,126","325,502",15.4,7.9,7.6,103.9,"578,015","295,270","282,745",12.1,6.2,5.9,104.4,"455,213","233,417","221,796",9.0,4.6,4.4,105.2,"451,390","230,709","220,681",8.7,4.5,4.3,104.5,"438,566","224,166","214,400",8.5,4.3,4.1,104.6,"462,080","236,947","225,133",8.7,4.4,4.2,105.2,"407,498","208,437","199,061",7.3,3.7,3.6,104.7,"352,073","180,019","172,054",6.2,3.2,3.0,104.6,"291,820","149,665","142,155",5.2,2.7,2.5,105.3,"260,027","132,618","127,409",4.6,2.3,2.2,104.1,"238,264","121,481","116,783",4.2,2.1,2.1,104.0,"220,680","112,055","108,625",3.9,2.0,1.9,103.2,"200,977","102,766","98,211",3.7,1.9,1.8,104.6,"186,010","95,022","90,988",3.5,1.8,1.7,104.4,"162,373","83,004","79,369",3.1,1.6,1.5,104.6,"186,446","95,254","91,192",3.5,1.8,1.7,104.5,"162,611","83,139","79,472",3.1,1.6,1.5,104.6
01000_北海道,5～9歳,"319,370","161,814","157,556",13.5,6.9,6.7,102.7,"336,438","170,315","166,123",13.5,6.8,6.6,102.5,"383,080","193,478","189,602",13.6,6.9,6.7,102.0,"417,967","210,495","207,472",13.6,6.9,6.8,101.5,"430,141","217,615","212,526",13.1,6.7,6.5,102.4,"447,774","226,133","221,641",12.7,6.4,6.3,102.0,"524,173","266,014","258,159",12.2,6.2,6.0,103.0,"652,105","332,268","319,837",13.7,7.0,6.7,103.9,"576,230","294,325","281,905",11.4,5.8,5.6,104.4,"446,543","228,280","218,263",8.6,4.4,4.2,104.6,"436,424","222,706","213,718",8.4,4.3,4.1,104.2,"427,004","218,215","208,789",8.0,4.1,3.9,104.5,"465,277","238,711","226,566",8.3,4.3,4.1,105.4,"405,226","207,356","197,870",7.1,3.7,3.5,104.8,"345,826","176,765","169,061",6.1,3.1,3.0,104.6,"294,029","150,901","143,128",5.2,2.7,2.5,105.4,"260,721","132,985","127,736",4.6,2.4,2.3,104.1,"238,798","122,052","116,746",4.2,2.2,2.1,104.5,"219,180","111,287","107,893",4.0,2.0,2.0,103.1,"202,269","103,549","98,720",3.8,1.9,1.8,104.9,"189,483","96,778","92,705",3.7,1.9,1.8,104.4,"202,676","103,759","98,917",3.8,1.9,1.8,104.9,"189,715","96,895","92,820",3.6,1.9,1.8,104.4
01000_北海道,10～14歳,"270,012","138,018","131,994",11.4,5.9,5.6,104.6,"300,821","153,388","147,433",12.0,6.1,5.9,104.0,"329,334","167,701","161,633",11.7,6.0,5.7,103.8,"372,110","188,761","183,349",12.1,6.2,6.0,103.0,"401,194","202,527","198,667",12.3,6.2,6.1,101.9,"436,104","220,621","215,483",12.4,6.3,6.1,102.4,"472,030","238,681","233,349",11.0,5.6,5.4,102.3,"520,095","263,869","256,226",10.9,5.5,5.4,103.0,"650,036","330,838","319,198",12.9,6.6,6.3,103.6,"564,190","287,232","276,958",10.9,5.6,5.4,103.7,"434,497","221,689","212,808",8.4,4.3,4.1,104.2,"423,527","216,154","207,373",7.9,4.0,3.9,104.2,"425,549","217,367","208,182",7.6,3.9,3.7,104.4,"460,660","236,038","224,622",8.1,4.2,4.0,105.1,"396,605","202,723","193,882",7.0,3.6,3.4,104.6,"344,617","176,055","168,562",6.1,3.1,3.0,104.4,"293,367","150,621","142,746",5.2,2.7,2.5,105.5,"259,579","132,431","127,148",4.6,2.4,2.3,104.2,"237,155","121,300","115,855",4.3,2.2,2.1,104.7,"220,017","111,816","108,201",4.1,2.1,2.0,103.3,"203,948","104,728","99,220",3.9,2.0,1.9,105.6,"220,451","112,007","108,444",4.1,2.1,2.0,103.3,"204,200","104,863","99,337",3.9,2.0,1.9,105.6
01000_北海道,15～19歳,"239,092","125,670","113,422",10.1,5.3,4.8,110.8,"252,275","131,986","120,289",10.1,5.3,4.8,109.7,"296,826","154,310","142,516",10.6,5.5,5.1,108.3,"317,212","164,046","153,166",10.3,5.3,5.0,107.1,"354,389","182,608","171,781",10.8,5.6,5.3,106.3,"398,031","200,381","197,650",11.3,5.7,5.6,101.4,"455,200","230,778","224,422",10.6,5.4,5.2,102.8,"478,640","243,826","234,814",10.0,5.1,4.9,103.8,"508,799","254,493","254,306",10.1,5.1,5.0,100.1,"599,110","298,657","300,453",11.6,5.8,5.8,99.4,"499,412","250,272","249,140",9.6,4.8,4.8,100.5,"397,272","201,906","195,366",7.4,3.8,3.7,103.3,"410,100","209,528","200,572",7.4,3.8,3.6,104.5,"412,479","209,552","202,927",7.3,3.7,3.6,103.3,"443,367","226,108","217,259",7.9,4.0,3.9,104.1,"394,609","201,737","192,872",6.9,3.5,3.4,104.6,"341,843","175,008","166,835",6.0,3.1,2.9,104.9,"292,235","150,839","141,396",5.2,2.7,2.5,106.7,"258,530","132,356","126,174",4.7,2.4,2.3,104.9,"239,098","123,196","115,902",4.5,2.3,2.2,106.3,"221,229","113,445","107,784",4.3,2.2,2.1,105.3,"240,251","123,819","116,432",4.5,2.3,2.2,106.3,"222,982","114,385","108,597",4.3,2.2,2.1,105.3
01000_北海道,20～24歳,"208,337","109,351","98,986",8.8,4.6,4.2,110.5,"215,391","112,790","102,601",8.6,4.5,4.1,109.9,"248,258","132,268","115,990",8.8,4.7,4.1,114.0,"278,229","145,037","133,192",9.1,4.7,4.3,108.9,"291,584","150,654","140,930",8.9,4.6,4.3,106.9,"296,266","125,878","170,388",8.4,3.6,4.8,73.9,"414,482","212,766","201,716",9.6,5.0,4.7,105.5,"477,693","253,023","224,670",10.0,5.3,4.7,112.6,"466,201","234,547","231,654",9.3,4.7,4.6,101.2,"451,306","213,227","238,079",8.7,4.1,4.6,89.6,"514,232","238,736","275,496",9.9,4.6,5.3,86.7,"443,148","209,711","233,437",8.3,3.9,4.4,89.8,"376,820","185,415","191,405",6.8,3.3,3.4,96.9,"376,187","183,074","193,113",6.6,3.2,3.4,94.8,"364,934","176,755","188,179",6.5,3.1,3.3,93.9,"415,477","207,782","207,695",7.3,3.7,3.7,100.0,"358,051","179,696","178,355",6.3,3.2,3.2,100.8,"314,753","159,089","155,664",5.6,2.8,2.8,102.2,"264,185","133,097","131,088",4.8,2.4,2.4,101.5,"234,274","117,965","116,309",4.4,2.2,2.2,101.4,"220,409","112,616","107,793",4.3,2.2,2.1,104.5,"237,516","119,948","117,568",4.4,2.2,2.2,102.0,"228,568","117,240","111,328",4.4,2.2,2.1,105.3
